ID,Campus,Situação no Curso,Modalidade,Curso,Ano/Semestre letivo da ocorrência,Série/Período da ocorrência,Principal motivo da ocorrência,Motivo terciário da ocorrência,Motivo secundário da ocorrência
23,PF,Evadido,Licenciatura,Licenciatura em Química,2019.1,1,Dificuldade em conciliar estudo e trabalho,Necessidade de trabalhar,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria
24,PF,Evadido,Licenciatura,Licenciatura em Química,2022.1,1,Desmotivação ou desinteresse pelo curso,Necessidade de trabalhar,Dificuldade em conciliar estudo e trabalho
25,PF,Evadido,Licenciatura,Licenciatura em Química,2019.1,1,Dificuldade em conciliar estudo e trabalho,Dificuldades de (re)adaptação à rotina escolar,Necessidade de trabalhar
26,PF,Evadido,Licenciatura,Licenciatura em Química,2022.1,1,Necessidade de trabalhar,Necessidade de cuidar de familiar no horário do curso,Problema de saúde pessoal ou de familiar
27,PF,Evadido,Licenciatura,Licenciatura em Química,2019.1,1,Dificuldade em conciliar estudo e trabalho,Necessidade de trabalhar,Mudança de turno de trabalho
28,SPP,Evadido,Técnico Integrado,Técnico em Edificações,2018.2,1,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria,Dificuldade em planejar a própria vida e estabelecer metas de desenvolvimento pessoal
29,CANG,Evadido,Tecnologia,Tecnologia em Gestão do Turismo,2022.1,1,Dificuldade de articulação com outras instituições e/ou cursos,,
30,CN,Evadido,Licenciatura,Licenciatura em Química,2019.1,1,Dificuldades na relação estudante-estudante,Falta de identificação com o curso,Dificuldades na relação estudante-estudante
31,CANG,Trancado,Tecnologia,Tecnologia em Gestão do Turismo,2020.2,1,Dificuldade em conciliar estudo e trabalho,,
32,SPP,Evadido,Licenciatura,Licenciatura em Matemática,2022.1,1,Dificuldade de aprendizagem,Dificuldade em conciliar os estudos com outros cursos,Dificuldades de (re)adaptação à rotina escolar
33,CANG,Evadido,Tecnologia,Tecnologia em Gestão do Turismo,2022.1,1,Mudança de interesse profissional ou pessoal,,
34,SPP,Evadido,Licenciatura,Licenciatura em Matemática,2022.1,1,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria
35,PF,Evadido,Licenciatura,Licenciatura em Química,2022.2,1,Dificuldade em planejar a própria vida e estabelecer metas de desenvolvimento pessoal,Mudança de interesse profissional ou pessoal,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria
36,SPP,Evadido,Licenciatura,Licenciatura em Matemática,2022.1,1,Dificuldades de (re)adaptação à rotina escolar,Dificuldades de (re)adaptação à rotina escolar,Dificuldades de (re)adaptação à rotina escolar
37,PF,Evadido,Licenciatura,Licenciatura em Química,2018.1,1,Desmotivação do professor,Necessidade de trabalhar,Falta ou inadequação de salas de aula
38,CANG,Evadido,Tecnologia,Tecnologia em Gestão do Turismo,2022.1,1,Necessidade de trabalhar,,
39,PF,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Ingresso em outro curso,,
40,SPP,Evadido,Licenciatura,Licenciatura em Matemática,2021.1,1,Problema de saúde pessoal ou de familiar,Excesso de carga horária semanal de aulas no período letivo,Excesso do número de atividades avaliativas
41,CANG,Trancado,Tecnologia,Tecnologia em Sistemas para Internet,2021.1,5,Necessidade de trabalhar,,
42,CN,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Mudança de cidade,Necessidade de cuidar de familiar no horário do curso,Mudança de cidade
43,CN,Evadido,Licenciatura,Licenciatura em Química,2019.1,1,Dificuldade em conciliar os estudos com outros cursos,Dificuldade em conciliar estudo e trabalho,Falta de identificação com o curso
44,PF,Evadido,Licenciatura,Licenciatura em Química,2018.1,2,Dificuldade em conciliar estudo e trabalho,Problema de saúde pessoal ou de familiar,Dificuldade em conciliar estudo e trabalho
45,CN,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Necessidade de trabalhar,Necessidade de trabalhar,Necessidade de trabalhar
46,CAL,Evadido,Tecnologia,Tecnologia em Produção Cultural,2022.1,1,Dificuldade em conciliar estudo e trabalho,Mudança de turno de trabalho,Necessidade de trabalhar
47,PF,Evadido,Licenciatura,Licenciatura em Química,2019.1,6,Falta de identificação com o curso,Não correspondência das expectativas iniciais em relação ao curso,Mudança de interesse profissional ou pessoal
48,CAL,Evadido,Tecnologia,Tecnologia em Produção Cultural,2022.2,2,Dificuldade em conciliar estudo e trabalho,,
49,PF,Evadido,Técnico Integrado,Técnico em Alimentos,2022.1,2,Dificuldade em conciliar estudo e trabalho,Falta de aptidão para o curso escolhido,Necessidade de trabalhar
50,LAJ,Evadido,Técnico Subsequente,Técnico em Administração,2022.2,2,Necessidade de trabalhar,Necessidade de trabalhar,Necessidade de trabalhar
51,PF,Evadido,Licenciatura,Licenciatura em Química,2020.1,4,Dificuldade em planejar a própria vida e estabelecer metas de desenvolvimento pessoal,Desmotivação ou desinteresse pelo curso,Dificuldades de (re)adaptação à rotina escolar
52,PF,Evadido,Licenciatura,Licenciatura em Química,2018.1,3,Desmotivação ou desinteresse pelo curso,Dificuldade em conciliar estudo e trabalho,Necessidade de trabalhar
53,CN,Evadido,Licenciatura,Licenciatura em Química,2022.1,1,Problema de saúde pessoal ou de familiar,Problema de saúde pessoal ou de familiar,Necessidade de cuidar de familiar no horário do curso
54,CAL,Evadido,Técnico Subsequente,Técnico em Guia de Turismo,2022.2,2,Falta de identificação com o curso,,
55,PF,Evadido,Técnico Integrado,Técnico em Alimentos,2019.1,4,Necessidade de trabalhar,Mudança de cidade,Falta de hábito de estudo
56,CAL,Evadido,Tecnologia,Tecnologia em Produção Cultural,2020.1,1,Necessidade de trabalhar,Mudança de turno de trabalho,Dificuldade em conciliar estudo e trabalho
57,CAL,Evadido,Técnico Subsequente,Técnico em Eventos,2020.1,1,Falta de hábito de estudo,Dificuldades de (re)adaptação à rotina escolar,Falta de disciplina para o estudo
58,CA,Evadido,Licenciatura,Licenciatura em Física,2022.2,1,Mudança de interesse profissional ou pessoal,,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria
59,CAL,Evadido,Tecnologia,Técnico em Eventos,2022.1,1,Baixa demanda para contratação de estagiários e de egressos do curso,,Dificuldade de transporte para a unidade de ensino
60,CANG,Trancado,Tecnologia,Tecnologia em Sistemas para Internet,2023.1,5,Problema de saúde pessoal ou de familiar,,
61,CA,Evadido,Licenciatura,Licenciatura em Física,2018.1,1,Ingresso em outro curso,,
62,CANG,Evadido,Tecnologia,Tecnologia em Gestão do Turismo,2020.1,1,Falta de recursos financeiros para aquisição de material escolar,,Falta de assiduidade do estudante
63,CA,Evadido,Licenciatura,Licenciatura em Física,2022.1,1,Dificuldade em conciliar os estudos com outros cursos,,
64,CAL,Evadido,Técnico Subsequente,Técnico em Eventos,2019.2,1,Falta de recursos financeiros para transporte escolar,,
65,SC,Trancado,Licenciatura,Licenciatura em Matemática,2023.1,4,Necessidade de trabalhar,,
66,ZL,Evadido,Licenciatura,Licenciatura em Formação Pedagógica para Graduados não Licenciados (em Rede),2019.1,2,Dificuldade em planejar a própria vida e estabelecer metas de desenvolvimento pessoal,,
67,ZL,Evadido,Licenciatura,Licenciatura em Formação Pedagógica para Graduados não Licenciados (em Rede),2020.1,4,Dificuldade em conciliar estudo e trabalho,,
68,ZL,Evadido,Licenciatura,Licenciatura em Formação Pedagógica para Graduados não Licenciados (em Rede),2021.2,7,Dificuldade em conciliar estudo e trabalho,,
69,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2018.2,2,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
70,LAJ,Trancado,Técnico Subsequente,Técnico em Administração,2019.1,1,Dificuldade em conciliar os estudos com outros cursos,,
71,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2022.1,1,Falta de conhecimento sobre a área e o curso escolhido,,
72,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2018.2,2,Dificuldade em conciliar os estudos com outros cursos,,
73,SC,Trancado,Técnico Integrado EJA,Técnico em Manutenção e Suporte em Informática,2022.1,3,Dificuldade em conciliar os estudos com outros cursos,,
74,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2021.1,4,Dificuldades na relação docente-estudante,Excesso do número de atividades avaliativas,Inadequação da metodologia de avaliação
75,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2020.1,1,Problema de saúde pessoal ou de familiar,,
76,CAL,Evadido,Técnico Subsequente,Tecnologia em Gestão Desportiva e de Lazer,2022.1,3,Mudança de cidade,,
77,SC,Evadido,Licenciatura,Licenciatura em Física,2019.2,1,Dificuldade em conciliar os estudos com outros cursos,,
78,CANG,Evadido,Licenciatura,Licenciatura em Educação do Campo,2019.2,1,Dificuldade em conciliar estudo e trabalho,,
79,CANG,Evadido,Técnico Subsequente,Técnico em Mecânica,2018.1,1,Dificuldades de (re)adaptação à rotina escolar,,Dificuldades de (re)adaptação à rotina escolar
80,SC,Trancado,Licenciatura,Licenciatura em Matemática,2022.1,3,Falta de identificação com o curso,,
81,CAL,Evadido,Técnico Integrado,Técnico em Eventos,2018.1,1,Escolha precoce da profissão,,
82,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2019.1,1,Dificuldade em conciliar estudo e trabalho,,
83,CANG,Evadido,Técnico Subsequente,Técnico em Mecânica,2020.1,1,Dificuldades de (re)adaptação à rotina escolar,Necessidade de cuidar de familiar no horário do curso,Dificuldade em conciliar estudo e trabalho
84,CANG,Evadido,Licenciatura,Licenciatura em Educação do Campo,2022.1,1,Necessidade de trabalhar,,Dificuldade em conciliar estudo e trabalho
85,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2018.1,1,Dificuldade em conciliar os estudos com outros cursos,,
86,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2019.1,1,Ingresso em outro curso,Ingresso em outro curso,Ingresso em outro curso
87,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2022.1,1,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
88,SC,Evadido,Licenciatura,Licenciatura em Física,2021.2,1,Dificuldades de (re)adaptação à rotina escolar,,
89,PF,Evadido,Técnico Integrado,Técnico em Apicultura,2022.1,3,Ingresso em outro curso,,
90,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2019.1,1,Desmotivação ou desinteresse pelo curso,Desmotivação ou desinteresse pelo curso,Desmotivação ou desinteresse pelo curso
91,SC,Evadido,Licenciatura,Licenciatura em Física,2019.2,1,Problema psicológico pessoal ou de familiar,,
92,CAL,Evadido,Técnico Subsequente,Tecnologia em Gestão do Turismo,2020.1,1,Dificuldade em conciliar estudo e trabalho,,
93,PF,Evadido,Técnico Integrado,Técnico em Apicultura,2020.1,4,Desmotivação ou desinteresse pelo curso,,
94,CANG,Evadido,Licenciatura,Licenciatura em Educação do Campo,2020.1,1,Dificuldade em conciliar estudo e trabalho,Dificuldades de (re)adaptação à rotina escolar,Problema de saúde pessoal ou de familiar
95,CAL,Evadido,Técnico Subsequente,Tecnologia em Gestão do Turismo,2020.1,2,Alteração do calendário acadêmico em função de greve e outros motivos,,
96,SC,Evadido,Licenciatura,Licenciatura em Física,2019.1,1,Dificuldade em conciliar os estudos com outros cursos,,
97,CANG,Evadido,Técnico Subsequente,Técnico em Mecânica,2020.1,1,Necessidade de trabalhar,,
98,IP,Evadido,Licenciatura,Licenciatura em Informática,2021.1,1,Mudança de interesse profissional ou pessoal,Necessidade de trabalhar,Dificuldade em conciliar estudo e trabalho
99,SC,Evadido,Licenciatura,Licenciatura em Física,2019.2,1,Mudança de cidade,,Dificuldade em conciliar estudo e trabalho
100,LAJ,Evadido,Técnico Subsequente,Técnico em Comércio,2022.1,1,Mudança de cidade,,
101,SC,Evadido,Técnico Integrado EJA,Técnico em Manutenção e Suporte em Informática,2021.1,5,Dificuldades de (re)adaptação à rotina escolar,,
102,CANG,Evadido,Licenciatura,Licenciatura em Educação do Campo,2021.1,1,Mudança de cidade,,
103,IP,Evadido,Licenciatura,Licenciatura em Informática,2020.1,1,Dificuldade em conciliar estudo e trabalho,Necessidade de trabalhar,Dificuldade em conciliar estudo e trabalho
104,PF,Evadido,Técnico Integrado,Técnico em Informática,2020.1,2,Mudança de interesse profissional ou pessoal,,
105,SC,Trancado,Licenciatura,Licenciatura em Matemática,2021.1,2,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,,
106,IP,Evadido,Licenciatura,Licenciatura em Informática,2020.1,1,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
107,SC,Trancado,Licenciatura,Licenciatura em Matemática,2021.1,2,Dificuldade em conciliar estudo e trabalho,,
108,SGA,Evadido,Engenharia,Engenharia de Produção,2022.1,1,Necessidade de trabalhar,,
109,SC,Evadido,Licenciatura,Licenciatura em Física,2021.1,2,Falta de identificação com o curso,,
110,IP,Evadido,Licenciatura,Licenciatura em Informática,2018.1,1,Dificuldade em conciliar estudo e trabalho,Dificuldades de (re)adaptação à rotina escolar,Dificuldade de aprendizagem
111,SC,Evadido,Licenciatura,Licenciatura em Matemática,2019.1,1,Dificuldade em conciliar os estudos com outros cursos,,
112,SGA,Evadido,Tecnologia,Tecnologia em Redes de Computadores,2022.1,1,Necessidade de cuidar de familiar no horário do curso,,Complexidade dos conteúdos abordados nas disciplinas
113,SC,Trancado,Licenciatura,Licenciatura em Matemática,2020.1,2,Desmotivação ou desinteresse pelo curso,,
114,IP,Evadido,Licenciatura,Licenciatura em Informática,2020.1,1,Problema de saúde pessoal ou de familiar,Problema de saúde pessoal ou de familiar,Falta de recursos financeiros para transporte escolar
115,SC,Trancado,Licenciatura,Licenciatura em Matemática,2021.1,2,Dificuldade em conciliar estudo e trabalho,,
116,SGA,Evadido,Engenharia,Engenharia de Produção,2021.1,1,Necessidade de trabalhar,,
117,SC,Evadido,Licenciatura,Licenciatura em Física,2021.2,1,Dificuldade em conciliar estudo e trabalho,,
118,MO,Evadido,Técnico Subsequente,Técnico em Edificações,2021.1,1,Dificuldade em conciliar os estudos com outros cursos,,
119,SC,Evadido,Técnico Integrado EJA,Técnico em Manutenção e Suporte em Informática,2022.2,4,Dificuldade em conciliar estudo e trabalho,,
120,SC,Evadido,Licenciatura,Licenciatura em Física,2019.2,1,Necessidade de trabalhar,,
121,SC,Trancado,Licenciatura,Licenciatura em Matemática,2019.1,3,Dificuldade em conciliar estudo e trabalho,,
122,IP,Evadido,Licenciatura,Licenciatura em Informática,2020.1,1,Falta de recursos financeiros para aquisição de material escolar,Dificuldades de (re)adaptação à rotina escolar,Falta de recursos financeiros para aquisição de material escolar
123,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2022.2,2,Desmotivação ou desinteresse pelo curso,Falta de planejamento participativo de ações de gestão de pessoal,Não correspondência das expectativas iniciais em relação ao curso
124,CAL,Evadido,Técnico Subsequente,Técnico em Guia de Turismo,2020.1,2,Mudança de interesse profissional ou pessoal,,
125,MO,Evadido,Técnico Subsequente,Técnico em Edificações,2020.1,1,Problema de saúde pessoal ou de familiar,,Falta de recursos financeiros para aquisição de material escolar
126,SGA,Evadido,Tecnologia,Tecnologia em Redes de Computadores,2022.1,1,Problema de saúde pessoal ou de familiar,,
127,SC,Evadido,Licenciatura,Licenciatura em Matemática,2020.1,2,Dificuldade em conciliar os estudos com outros cursos,,
128,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2019.1,2,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
129,MO,Evadido,Licenciatura,Licenciatura em Matemática,2018.2,1,Dificuldade em conciliar os estudos com outros cursos,,
130,SC,Evadido,Técnico Integrado EJA,Técnico em Manutenção e Suporte em Informática,2021.2,8,Dificuldade de obter material para execução de trabalhos e aulas práticas,,
131,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2022.1,2,"Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)","Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)","Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)"
132,IP,Evadido,Licenciatura,Licenciatura em Informática,2018.1,1,Dificuldade em conciliar estudo e trabalho,Dificuldades de (re)adaptação à rotina escolar,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria
133,IP,Evadido,Licenciatura,Licenciatura em Informática,2019.1,3,Ingresso em outro curso,Falta de identificação com o curso,Mudança de interesse profissional ou pessoal
134,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2020.1,4,"Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)","Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)",Dificuldade em conciliar os estudos com outros cursos
135,CAL,Evadido,Técnico Subsequente,Técnico em Eventos,2018.1,1,Dificuldade em conciliar estudo e trabalho,,
136,SGA,Evadido,Engenharia,Engenharia de Produção,2021.1,1,Falta de recursos financeiros para transporte escolar,,
137,IP,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Falta de recursos financeiros para aquisição de material escolar,Necessidade de trabalhar,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria
138,CANG,Trancado,Técnico Subsequente,Técnico em Mecânica,2020.2,2,Dificuldades de (re)adaptação à rotina escolar,,
139,CA,Evadido,Licenciatura,Licenciatura em Física,2022.1,1,Dificuldade em conciliar estudo e trabalho,,
140,CAL,Evadido,Técnico Integrado,Técnico em Multimídia,2018.1,1,Falta de recursos financeiros para transporte escolar,,
141,IP,Evadido,Licenciatura,Licenciatura em Informática,2020.1,1,Mudança de cidade,Mudança de turno de trabalho,Necessidade de trabalhar
142,IP,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Falta de recursos financeiros para aquisição de material escolar,Necessidade de trabalhar,Necessidade de trabalhar
143,IP,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Falta de recursos financeiros para transporte escolar,Falta de recursos financeiros para aquisição de material escolar,Necessidade de trabalhar
144,SGA,Evadido,Engenharia,Engenharia de Produção,2021.1,1,Necessidade de trabalhar,,
145,SGA,Evadido,Engenharia,Engenharia de Produção,2021.1,1,Necessidade de trabalhar,,Mudança de cidade
146,IP,Evadido,Licenciatura,Licenciatura em Química,2018.1,1,Problema de saúde pessoal ou de familiar,Desmotivação ou desinteresse pelo curso,Desmotivação ou desinteresse pelo curso
147,IP,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Necessidade de cuidar de familiar no horário do curso,Necessidade de trabalhar,Necessidade de trabalhar
148,SC,Evadido,Licenciatura,Licenciatura em Matemática,2019.1,2,Dificuldade em conciliar estudo e trabalho,,
149,SC,Evadido,Técnico Integrado,Técnico em Informática,2022.1,1,Falta de recursos financeiros para transporte escolar,,
150,SC,Trancado,Licenciatura,Licenciatura em Matemática,2018.1,3,Falta de identificação com o curso,,
151,SC,Trancado,Licenciatura,Licenciatura em Matemática,2022.1,3,Dificuldade em conciliar estudo e trabalho,,
152,SC,Trancado,Técnico Integrado,Técnico em Informática,2019.1,1,Dificuldade em conciliar os estudos com outros cursos,,
153,SC,Trancado,Licenciatura,Licenciatura em Matemática,2019.1,2,Desmotivação ou desinteresse pelo curso,,
154,SC,Evadido,Licenciatura,Licenciatura em Matemática,2020.1,3,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino,,
155,IP,Evadido,Licenciatura,Licenciatura em Informática,2018.1,1,Falta de identificação com o curso,Mudança de interesse profissional ou pessoal,Desmotivação ou desinteresse pelo curso
156,IP,Evadido,Licenciatura,Licenciatura em Informática,2018.1,1,Falta de identificação com o curso,Mudança de interesse profissional ou pessoal,Desmotivação ou desinteresse pelo curso
157,IP,Evadido,Licenciatura,Licenciatura em Informática,2018.1,1,Falta de identificação com o curso,Desmotivação ou desinteresse pelo curso,Mudança de interesse profissional ou pessoal
158,IP,Evadido,Licenciatura,Licenciatura em Informática,2019.1,3,Baixa demanda para contratação de estagiários e de egressos do curso,Falta de identificação com o curso,Necessidade de trabalhar
159,IP,Evadido,Licenciatura,Licenciatura em Informática,2019.1,3,Falta de identificação com o curso,Desmotivação ou desinteresse pelo curso,Necessidade de cuidar de familiar no horário do curso
160,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2018.1,1,Inadequação do turno de oferta do curso,Dificuldade no encaminhamento de estágios,Necessidade de cuidar de familiar no horário do curso
161,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2020.1,1,Falta de recursos financeiros para aquisição de material escolar,Falta de recursos financeiros para aquisição de material escolar,Falta de recursos financeiros para aquisição de material escolar
162,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2020.1,1,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
163,SPP,Evadido,Técnico Subsequente,Técnico em Edificações,2020.1,1,Dificuldade em conciliar estudo e trabalho,Falta de dedicação aos estudos,Dificuldade em conciliar estudo e trabalho
164,PF,Evadido,Técnico Integrado,Técnico em Apicultura,2019.1,3,Necessidade de trabalhar,,Falta de identificação com o curso
165,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2022.2,3,"Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)","Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)","Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)"
166,IP,Evadido,Licenciatura,Licenciatura em Química,2018.1,1,Necessidade de trabalhar,Desmotivação ou desinteresse pelo curso,Dificuldade em conciliar estudo e trabalho
167,ZL,Evadido,Técnico Subsequente,Técnico em Informática para Internet,2018.2,2,Falta de disciplina para o estudo,"Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)",Dificuldades de (re)adaptação à rotina escolar
168,IP,Evadido,Licenciatura,Licenciatura em Informática,2018.1,1,Baixa demanda para contratação de estagiários e de egressos do curso,Complexidade dos conteúdos abordados nas disciplinas,Dificuldades na relação docente-estudante
169,ZL,Trancado,Técnico Subsequente,Técnico em Informática para Internet,2022.2,3,Falta de recursos financeiros para aquisição de material escolar,Falta de recursos financeiros para aquisição de material escolar,Falta de recursos financeiros para aquisição de material escolar
170,CANG,Trancado,Tecnologia,Tecnologia em Gestão do Turismo,2019.2,2,Desmotivação ou desinteresse pelo curso,,
171,CAL,Evadido,Técnico Subsequente,Técnico em Eventos,2021.1,1,Dificuldade em conciliar estudo e trabalho,,
